cfile,BestSansPip,OracleEP,Diff,EPConfiguration,Index
557.xz+liblzma_common_easy_decoder_memusage.c,6655.36,6366.0,289.3599999999997,EP_Solver=Naive,78.0
557.xz+common_tuklib_mbstr_fw.c,7418.64,5298.0,2120.6400000000003,EP_Solver=Naive,80.0
557.xz+liblzma_common_easy_preset.c,7424.9,4882.2,2542.7,EP_Solver=Naive,81.0
507.cactuBSSN+Cactus_main_CactusDefaultMainLoopIndex.c,8133.0,6545.2,1587.8000000000002,EP_Solver=Naive,82.0
502.gcc+lbasename.c,8153.3,3663.8,4489.5,EP_Solver=Naive,83.0
526.blender+blender_source_blender_editors_armature_meshlaplacian.c,8924.2,7770.0,1154.2000000000007,EP_Solver=Naive,86.0
502.gcc+xexit.c,9136.44,5806.4,3330.040000000001,EP_Solver=Naive,89.0
502.gcc+crc32.c,9949.94,3368.0,6581.9400000000005,EP_Solver=Naive,92.0
502.gcc+host-ieee128.c,11394.2,7859.4,3534.800000000001,EP_Solver=Naive,100.0
507.cactuBSSN+Cactus_main_ProcessEnvironment.c,11753.2,9474.8,2278.4000000000015,EP_Solver=Naive,102.0
526.blender+zlib_gzclose.c,11877.46,8594.8,3282.66,EP_Solver=Naive,103.0
526.blender+blender_source_blender_modifiers_intern_MOD_none.c,12334.02,4536.6,7797.42,EP_Solver=Naive,107.0
502.gcc+xmemdup.c,13282.66,9614.4,3668.26,EP_Solver=Naive,119.0
507.cactuBSSN+Cactus_main_Traverse.c,13799.74,11703.2,2096.539999999999,EP_Solver=Naive,124.0
502.gcc+xstrdup.c,14119.64,13927.6,192.03999999999905,EP_Solver=Naive,126.0
502.gcc+host-ieee64.c,14179.44,7235.4,6944.040000000001,EP_Solver=Naive,127.0
507.cactuBSSN+Boundary_NoneBoundary.c,14919.18,11530.4,3388.7800000000007,EP_Solver=Naive,137.0
507.cactuBSSN+Cactus_main_Subsystems.c,15277.28,13986.8,1290.4800000000014,EP_OVS_Solver=Worklist_Policy=LastInFirstOut_HybridCD_LazyCD,142.0
505.mcf+pflowup.c,16044.1,7033.6,9010.5,EP_Solver=Naive,155.0
544.nab+regex-alpha_regfree.c,16088.28,11497.8,4590.480000000001,EP_Solver=Naive,157.0
557.xz+liblzma_common_easy_buffer_encoder.c,16966.22,16290.2,676.0200000000004,EP_Solver=Naive,170.0
557.xz+liblzma_lzma_lzma_encoder_presets.c,16983.86,6049.2,10934.66,EP_Solver=Naive,172.0
507.cactuBSSN+CactusBindings_Schedule_ScheduleCactus.c,17218.82,13009.8,4209.02,EP_Solver=Naive,176.0
557.xz+liblzma_common_stream_flags_common.c,18067.04,16201.6,1865.4400000000005,EP_Solver=Naive,187.0
507.cactuBSSN+LocalReduce_Reduction.c,18453.26,16550.4,1902.859999999997,EP_Solver=Naive,193.0
538.imagick+magick_monitor.c,18890.86,14094.2,4796.66,EP_Solver=Naive,199.0
557.xz+liblzma_check_crc64_fast.c,19231.86,9506.2,9725.66,EP_Solver=Naive,202.0
557.xz+liblzma_check_crc32_fast.c,20407.56,10543.0,9864.560000000001,EP_Solver=Naive,211.0
