Configuration,TotalTime[ns]
OVS_Solver=Worklist_Policy=LastInFirstOut_HybridCD_LazyCD_DP,1732260.505273732
OVS_Solver=Worklist_Policy=LeastRecentlyFired_DP,1739722.2144650929
OVS_Solver=Worklist_Policy=LastInFirstOut_HybridCD_DP,1764336.2044198895
Solver=Worklist_Policy=FirstInFirstOut_LazyCD,1775321.3485685585
Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_LazyCD,1775857.0843797086
OVS_Solver=Worklist_Policy=LeastRecentlyFired_HybridCD_DP,1787947.897538925
Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired,1869749.224008036
Solver=Worklist_Policy=LeastRecentlyFired_LazyCD,1891041.785032647
Solver=Worklist_Policy=FirstInFirstOut,1896110.1074836766
OVS_Solver=Worklist_Policy=TopologicalSort_DP_PIP,1943981.6167754896
OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_LazyCD,2027646.0934203917
OVS_Solver=Worklist_Policy=FirstInFirstOut_LazyCD,2041470.2385735812
OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_HybridCD_LazyCD,2062782.708689101
OVS_Solver=Worklist_Policy=FirstInFirstOut_HybridCD_LazyCD,2077183.1582119537
OVS_Solver=Worklist_Policy=LeastRecentlyFired_LazyCD,2087093.8774485183
Solver=Worklist_Policy=LeastRecentlyFired,2100056.55851331
OVS_Solver=Worklist_Policy=LeastRecentlyFired_HybridCD_LazyCD,2135009.219989955
OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired,2142954.343545957
OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_HybridCD,2178683.329984932
OVS_Solver=Worklist_Policy=FirstInFirstOut,2194731.380210949
OVS_Solver=Worklist_Policy=FirstInFirstOut_HybridCD,2215646.358613762
OVS_Solver=Worklist_Policy=LeastRecentlyFired,2229209.961828227
OVS_Solver=Worklist_Policy=TopologicalSort_PIP,2244123.8714213963
OVS_Solver=Worklist_Policy=LeastRecentlyFired_HybridCD,2258063.1988950274
Solver=Worklist_Policy=TopologicalSort_DP_PIP,2363024.9839276746
Solver=Worklist_Policy=TopologicalSort_PIP,2726973.494224008
OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_OnlineCD,2775326.899045706
OVS_Solver=Worklist_Policy=FirstInFirstOut_OnlineCD,2827117.961828227
OVS_Solver=Worklist_Policy=LeastRecentlyFired_OnlineCD,2916523.167252637
Solver=Naive,3626602.158211954
NORM_Solver=Naive,3703310.3013561023
OVS_NORM_Solver=Naive,4228927.398794576
OVS_Solver=Naive,4302708.873430437
OVS_Solver=Worklist_Policy=TopologicalSort_DP,4485427.569060774
Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_OnlineCD,4614622.50125565
Solver=Worklist_Policy=FirstInFirstOut_OnlineCD,4935559.193370165
Solver=Worklist_Policy=TopologicalSort_DP,5042999.094927172
Solver=Worklist_Policy=LeastRecentlyFired_OnlineCD,5168724.0592667
OVS_Solver=Worklist_Policy=TopologicalSort,7236536.371672526
Solver=Worklist_Policy=TopologicalSort,7811420.953792064
Solver=Worklist_Policy=LastInFirstOut_LazyCD,23363139.125062782
OVS_Solver=Worklist_Policy=LastInFirstOut_HybridCD_LazyCD,24166064.754897036
OVS_Solver=Worklist_Policy=LastInFirstOut_LazyCD,24277764.34856856
OVS_Solver=Worklist_Policy=LastInFirstOut_OnlineCD,24734680.431441486
Solver=Worklist_Policy=LastInFirstOut_OnlineCD,26004930.44349573
Solver=Worklist_Policy=LastInFirstOut,27000244.986941237
OVS_Solver=Worklist_Policy=LastInFirstOut_HybridCD,27404564.658965345
OVS_Solver=Worklist_Policy=LastInFirstOut,27412056.255148165
