cfile,BestSansPip,OracleEP,TimeWithIPNaive,Diff,EPConfiguration,Index
sendmail-8.18.1+libsm_flags.c,3828.2,1541.0,793.2,2287.2,EP_Solver=Naive,51.0
sendmail-8.18.1+libsmutil_debug.c,3844.6,1090.0,452.4,2754.6,EP_Solver=Naive,52.0
507.cactuBSSN+CactusBindings_Functions_ADMBase_Functions.c,3957.86,1612.4,728.52,2345.46,EP_Solver=Naive,53.0
ghostscript-10.04.0+tiff_libtiff_tif_fax3sm.c,4013.0,1281.0,784.4,2732.0,EP_Solver=Naive,54.0
emacs-29.4+lib_acl-internal.c,4113.6,1850.0,1020.8,2263.6000000000004,EP_Solver=Naive,55.0
557.xz+liblzma_check_crc32_table.c,4148.12,2289.6,1355.86,1858.52,EP_OVS_Solver=Naive,56.0
557.xz+liblzma_check_crc64_table.c,4149.14,507.2,1182.32,3641.9400000000005,EP_Solver=Naive,57.0
507.cactuBSSN+CactusBindings_Functions_CartGrid3D_Functions.c,4178.62,752.2,1828.76,3426.42,EP_Solver=Naive,58.0
gdb-15.2+gnulib_import_sockets.c,4201.2,2099.0,993.0,2102.2,EP_Solver=Naive,59.0
557.xz+common_tuklib_open_stdxxx.c,4203.26,696.8,669.64,3506.46,EP_Solver=Naive,60.0
526.blender+blender_source_blender_bmesh_operators_bmo_smooth_laplacian.c,4303.98,1824.6,1565.12,2479.3799999999997,EP_Solver=Naive,61.0
gdb-15.2+gnulib_import_dup-safer-flag.c,4324.4,2116.0,980.0,2208.3999999999996,EP_Solver=Naive,62.0
507.cactuBSSN+CactusBindings_Schedule_ScheduleADMCoupling.c,4388.6,906.0,800.1,3482.6000000000004,EP_Solver=Naive,63.0
gdb-15.2+libiberty_filedescriptor.c,4407.0,1829.0,1138.4,2578.0,EP_Solver=Naive,64.0
507.cactuBSSN+ML_BSSN_Helper_RegisterSlicing.c,4551.48,1064.6,1055.0,3486.8799999999997,EP_Solver=Naive,65.0
gdb-15.2+libiberty_getruntime.c,4782.2,2020.0,1216.8,2762.2,EP_Solver=Naive,67.0
emacs-29.4+lib_file-has-acl.c,4825.6,2532.0,1223.6,2293.6000000000004,EP_Solver=Naive,68.0
502.gcc+host-linux.c,4849.86,2957.4,1296.42,1892.4599999999996,EP_Solver=Naive,69.0
emacs-29.4+lib_openat-die.c,4921.2,2323.0,1304.2,2598.2,EP_Solver=Naive,70.0
557.xz+xz_main.c,4966.66,1064.6,986.14,3902.06,EP_Solver=Naive,71.0
557.xz+common_tuklib_exit.c,5164.08,1091.6,1108.96,4072.48,EP_Solver=Naive,72.0
